comment_id,video_id,comment_text,comment_date,reply_count,like_count,is_spam_suspected
UgzL1HacWrcG-5NW8QJ4AaABAg,4OZip0cgOho,I know programming very basic .....I am facing challenges in writing code like intermediate level of programming.can you help me how to improve programming and how much is the programming necessary for data science,2021-02-26,1,1,false
Ugwk9b2FL-l80a7Vgwp4AaABAg,8igH8qZafpo,The Jon Snow of data science.,2021-02-26,0,0,false
UgxZGY6rcdSpqYCGvbh4AaABAg,8igH8qZafpo,Thx!,2021-02-26,1,1,false
UgyMXufqHCXfDOXkxB14AaABAg,XWetgrNas-k,Even I understand little of your work as long as your true come over here.,2021-02-26,0,0,false
UgyOTVSJhUHZM4v5OUJ4AaABAg,XWetgrNas-k,Will you love me even I'm far away?,2021-02-26,0,0,false
UgyJLdSjioQzpv_ttKN4AaABAg,XWetgrNas-k,If you have the courage come over here.,2021-02-26,0,0,false
UgyvYRvb4Px0g3eVV6V4AaABAg,XWetgrNas-k,I'll build you a database that can automate all your transactions as long as you are with me.,2021-02-26,0,0,false
UgzfiB1ljrG0NrZnOEZ4AaABAg,Xgg7dIKys9E,I really like the way she talk about complex deep learning concepts in a very digest able way.',2021-02-26,2,1,false
UgydcQzuWPNQca7OItZ4AaABAg,Z_KFh-HqaBA,This for u brother.,2021-02-26,0,0,false
UgyGNaE-aq_WaFFjqph4AaABAg,a3VWq9smqhM,She's hot and you know it.,2021-02-26,0,0,false
UgyMZYgf_JJ8lKClxER4AaABAg,a3VWq9smqhM,If you're not serious on the girl just play something.',2021-02-26,0,0,false
Ugzni7FdPsEdlVILnPh4AaABAg,a3VWq9smqhM,Comment with yourself. Then I'll be illeterate until you quit.,2021-02-26,0,0,false
UgxIRpIGH91dXW042yV4AaABAg,a3VWq9smqhM,Man Hello from Thailand. This is what i looking for . Im from data sci learning path  from your vid . This is pure Motivation for beginner like me .thanks a lot.,2021-02-26,1,4,false
UgykTJ30n9-WfOXYDRZ4AaABAg,fU3DOXjwufg,This is hard,2021-02-26,1,0,false
Ugyo_fY3_k_2O0jYl4R4AaABAg,fU3DOXjwufg,Inb4 Youtube buys this and makes you millionaires,2021-02-26,1,1,false
UgxrPsFwdHVUr0ie-MB4AaABAg,fU3DOXjwufg,Love the creativity used to communicate points in @Ken's YouTube videos. It makes everything stick,2021-02-26,1,1,false
UgwF6XHmhIVgKP-HaXR4AaABAg,fU3DOXjwufg,So excited! Is this going to be a playlist?,2021-02-26,1,1,false
UgxfsvkmpJDlcsbGwCt4AaABAg,fU3DOXjwufg,Great news! I would like to watch the journey of this great team through this peoject!!,2021-02-26,1,1,false
UgzEx14K-P1UCNTgRzx4AaABAg,fU3DOXjwufg,I just got on your channel from Tech with Tim. Glad I found you. Looking forward to seeing more of your content!,2021-02-26,1,2,false
UgzYgliSKN3JPax0vj14AaABAg,fU3DOXjwufg,Wait forgot to aks main question when is the new look releasing?,2021-02-26,1,2,false
Ugwv7SQmvE7l62k7LZB4AaABAg,fU3DOXjwufg,Not just sharing knowledge but also giving us the chance to experience the whole process and teamwork needed for a project!! Kudos to you,2021-02-26,1,1,false
UgxzRBVKBIQewab4yZV4AaABAg,fU3DOXjwufg,Will be looking forward to it Ken 💯',2021-02-26,1,1,false
UgzdTrmwCdcKRoqaFG54AaABAg,fU3DOXjwufg,Hello! How is it going to be a business?,2021-02-26,2,1,false
UgwAvd6VwL24Jr9A3KF4AaABAg,fU3DOXjwufg,Woooooo... The update brings more interest in anything...  I am really happy because this leaderboard is a virtual teacher for me for the last 2 months... Thanks for your efforts... I will surely help as much as I can so that others can also grow...  You are giving many resources and valuable guidance for free... If   Also feel free to reach out if I can help you.....,2021-02-26,2,3,false
UgwYz6xJRBmv7jNYXS14AaABAg,fU3DOXjwufg,Also Ken's dad makes another appearance!! Score one for pops',2021-02-26,2,4,false
UgyCKxCUASTDpsODFqp4AaABAg,fU3DOXjwufg,A side project that's turning into a business with some great friends you found online....wow❤️,2021-02-26,2,4,false
UgyLM3_QPhNqDR4Qe2d4AaABAg,fU3DOXjwufg,Previous Leaderboard Video: https://www.youtube.com/watch?v=myhoWUrSP7o&ab_channel=KenJee',2021-02-26,3,5,true
UgzvhsmYm3vULkeI6Nx4AaABAg,k4r_NtB4JVQ,#66daysofdata',2021-02-26,1,1,false
UgyFKnT4yt4tICQ_Drt4AaABAg,yukdXV9LR48,Fight!,2021-02-26,0,0,false
UgwwEGtN61JGLiwHBmd4AaABAg,yukdXV9LR48,I'll try.,2021-02-26,0,0,false
Ugw_mPAC-Jl5UVu4x514AaABAg,yukdXV9LR48,We are poor data scientist and you're YouTuber and she own the half of the city.',2021-02-26,0,0,false
UgzZzQDsZHr7xoYUmpV4AaABAg,yukdXV9LR48,Let's quit it.',2021-02-26,0,0,false
UgyQ5Xzjm_J9fCOEOXJ4AaABAg,yukdXV9LR48,She s daughter of the governor,2021-02-26,0,0,false
Ugy7BYjMg76ZkYBh7iV4AaABAg,zSwM5uVeylU,The girl is in the hallway.,2021-02-26,0,0,false
UgxdHD7K11ptMC66V9Z4AaABAg,zSwM5uVeylU,Good luck boy,2021-02-26,0,0,false
UgwJtQ3a7Z83qS4Yrp54AaABAg,zSwM5uVeylU,Filipina Chinese. Don't act smart she's naturally smarter. It's much better to approach her like a stupid and illeterate guy who than a cool white guy.,2021-02-26,0,0,false
