video_surrogate_key,video_id,video_title,video_publish_date,views,watch_time_hours,watch_time_minutes,avg_view_duration_seconds,avg_view_percentage,likes,comments_added,estimated_revenue_usd
0c7eca4c-9ba3-4b58-86d9-f13e1121d913,KMOA5arCi8g,What I Learned From My Three Degrees,2019-05-17 00:00:00 UTC,1079,90.3894,5423.36,301,39.58,56,7,3.707
6911282e-4cec-4b63-8b67-4a8afb7f2cc4,hO_YKK_0Qck,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16 00:00:00 UTC,21350,3687.3387,221240.32,621,15.12,881,402,202.963
fc7e80e7-a5f0-4e36-92f6-18cf18c41b74,xpIFS6jZbe8,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27 00:00:00 UTC,79283,5945.542,356732.52,269,36.77,4413,109,528.286
55787b87-6654-48d6-8aa3-faeaa6e805b5,KHAuuOQui2U,What You Need to Know for a Data Science Internship,2020-05-01 00:00:00 UTC,12317,571.0671,34264.03,166,54.02,798,26,57.149
30b1d52e-7c98-422a-8cfa-0d1296d3c912,AxP1CL0yaFQ,Should You Learn R for Data Science?,2019-04-25 00:00:00 UTC,15243,560.9369,33656.21,132,53.42,444,39,73.118
083cca17-171d-41ed-a1c1-dd2deac875ce,XWetgrNas-k,What Does a Data Scientist Actually Do?,2019-07-19 00:00:00 UTC,25402,1327.9255,79675.53,188,48.63,905,37,224.411
4ec35ef8-2a75-454c-8323-db4ede756ba8,g7on3Rw0Ovg,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09 00:00:00 UTC,1823,189.3334,11360,373,11.37,75,118,9.893
c2c30433-7d94-455e-8cfb-bc6305f20fce,QBIe4nbmZfA,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04 00:00:00 UTC,4581,268.8326,16129.96,211,30.05,175,19,21.129
7dab1484-c64b-45ef-8213-ba8707e9c3c9,FBgs-BSTIJE,Demystifying Data Science Roles,2018-11-30 00:00:00 UTC,978,56.593,3395.58,208,55.55,48,3,5.103
2c5beeab-184c-46a2-8f89-1f68614ad687,GmW4F6MHqqs,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06 00:00:00 UTC,71147,8050.7031,483042.19,407,24.28,2378,241,411.331
82c3456d-ea82-4690-bb22-10b5056c201b,KU__lDJj5iU,How Data Science Projects Pay Off,2021-05-22 00:00:00 UTC,9342,431.1819,25870.91,166,43.05,565,60,44.874
04a04515-dc88-47e2-9567-683986ff59fe,DopikusDfk0,Collision Course: Sports Betting + Data Science,2019-12-20 00:00:00 UTC,10291,427.0386,25622.32,149,42.08,342,13,55.502
7c5a9bdf-d02c-4b67-a878-8564e69432a9,yIJrCFXs0rU,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13 00:00:00 UTC,8633,957.2203,57433.22,399,15.42,246,22,57.53
01958af6-b500-47c6-93bd-2eb360919eac,iiSZqsQKNX8,#66DaysOfData - What is it? #shorts,2021-06-11 00:00:00 UTC,6101,54.2392,3254.35,32,68.1,297,26,12.009
acebd632-d541-48f2-8ad3-6306f689bf69,5SjK6YCs4o4,The Data Science Interview: What to Expect,2019-12-30 00:00:00 UTC,6185,585.3392,35120.35,340,38.45,321,15,30.575
4b6dcdb7-3543-4099-8bb4-66e27d9b79c4,ji7DtgUeKCI,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20 00:00:00 UTC,18307,1173.5318,70411.91,230,41.96,618,71,152.286
